Sl no,Comment,Comment_Tokens
659,trump  ,['trump']
660,jbhandsome hell no,"['jbhandsome', 'hell']"
661,irasemariverareyes where are you from  go there,"['irasemariverareyes', 'go']"
662,aliidalo barf,"['aliidalo', 'barf']"
663,minervamancha he hasnt done shit,"['minervamancha', 'hasnt', 'done', 'shit']"
664,clarkroscoe move from my homeland if you dont like it here,"['clarkroscoe', 'move', 'homeland', 'dont', 'like']"
665,trump is proud to have done it  why is any woman voting for him  why is any husband father brother supporting trump,"['trump', 'proud', 'done', 'woman', 'voting', 'husband', 'father', 'brother', 'supporting', 'trump']"
666,but ur man trump has an insurrectionhas become the biggest criminal with how many crimes that he has created for himself  deserves to pay cause hes a selfish controlling freak racist that doesnt give a hoot about u  america  thats why you follow him  love him you must be weak  need to get very educated god is blessing biden cause hes a true smart  cares for even you  all americans biden harris  trump prison  how about that,"['ur', 'man', 'trump', 'insurrectionhas', 'become', 'biggest', 'criminal', 'many', 'crimes', 'created', 'deserves', 'pay', 'cause', 'hes', 'selfish', 'controlling', 'freak', 'racist', 'doesnt', 'give', 'hoot', 'u', 'america', 'thats', 'follow', 'love', 'must', 'weak', 'need', 'get', 'educated', 'god', 'blessing', 'biden', 'cause', 'hes', 'true', 'smart', 'cares', 'even', 'americans', 'biden', 'harris', 'trump', 'prison']"
667,who goes for an abortion if they dont need it its not a tea party,"['goes', 'abortion', 'dont', 'need', 'tea', 'party']"
668,vasectomies not abortions men need to stay out of our wombs once we chose to birth them ,"['vasectomies', 'abortions', 'men', 'need', 'stay', 'wombs', 'chose', 'birth']"
669,trump  should be banned for proposing that vasectomy for those who cant control themselves,"['trump', 'banned', 'proposing', 'vasectomy', 'cant', 'control']"
670,for  years i was in my  ressurection been catholich did you knew jesus was a spy of all religions,"['years', 'ressurection', 'catholich', 'knew', 'jesus', 'spy', 'religions']"
671,does anybody catar coffe,"['anybody', 'catar', 'coffe']"
672,dont vote for ur body ur choice cause its not ur choice ur body its  choices th makes a man  woman get ,"['dont', 'vote', 'ur', 'body', 'ur', 'choice', 'cause', 'ur', 'choice', 'ur', 'body', 'choices', 'th', 'makes', 'man', 'woman', 'get']"
673,jobaker except for the ones raped by their own father and than forced to carry her fathers baby her life has been ruined by ignorant people like yourself that dont understand how often pregnancy goes wrong and how many children are abused by their own parents,"['jobaker', 'except', 'ones', 'raped', 'father', 'forced', 'carry', 'fathers', 'baby', 'life', 'ruined', 'ignorant', 'people', 'like', 'dont', 'understand', 'often', 'pregnancy', 'goes', 'wrong', 'many', 'children', 'abused', 'parents']"
674,trump boldly and proudly admits that he us the one that overturned roe vs wade he is the one that will take away all womens rights maga women you better wake up and understand what trump is about  he is using the poor white by lying to them to stuff his pockets with their hard earned money magas trump was a billionaire he would not be consistently begging for your donationsselling socks gross cheap tennis shoes and now stooping as low as he can get selling bibles blasphemy satan all the way wake up he cares only for himself,"['trump', 'boldly', 'proudly', 'admits', 'us', 'one', 'overturned', 'roe', 'vs', 'wade', 'one', 'take', 'away', 'womens', 'rights', 'maga', 'women', 'better', 'wake', 'understand', 'trump', 'using', 'poor', 'white', 'lying', 'stuff', 'pockets', 'hard', 'earned', 'money', 'magas', 'trump', 'billionaire', 'would', 'consistently', 'begging', 'donationsselling', 'socks', 'gross', 'cheap', 'tennis', 'shoes', 'stooping', 'low', 'get', 'selling', 'bibles', 'blasphemy', 'satan', 'way', 'wake', 'cares']"
675,barbarae you say i am uneducated something you may think or even believe but in no way can you substantiate i can however prove that you will lower yourself to state things that are not true in a public forum im pretty sure you should give up on the blind comments sticking to the facts are always the best route ,"['barbarae', 'say', 'uneducated', 'something', 'may', 'think', 'even', 'believe', 'way', 'substantiate', 'however', 'prove', 'lower', 'state', 'things', 'true', 'public', 'forum', 'im', 'pretty', 'sure', 'give', 'blind', 'comments', 'sticking', 'facts', 'always', 'best', 'route']"
676,loathe the face the voice the hatefulness spewing from the toxic mouth and the socalled man who is really a piece of human excrement blue all the way  ,"['loathe', 'face', 'voice', 'hatefulness', 'spewing', 'toxic', 'mouth', 'socalled', 'man', 'really', 'piece', 'human', 'excrement', 'blue', 'way']"
677,williamdontmind ,['williamdontmind']
678,jobaker we agree facts is what we should use when making decisions god doesnt like liars,"['jobaker', 'agree', 'facts', 'use', 'making', 'decisions', 'god', 'doesnt', 'like', 'liars']"
679,what about the choice of the unborn baby in the womb,"['choice', 'unborn', 'baby', 'womb']"
680,lukeduff duh,"['lukeduff', 'duh']"
681,hellosuncheyne why does trump  keep repeating the same words endlessly in a space of two hours,"['hellosuncheyne', 'trump', 'keep', 'repeating', 'words', 'endlessly', 'space', 'two', 'hours']"
682,no comment,['comment']
683,"the russians are massively shelling the cities of ukraine
 as a result of todays attack on zaporizhzhia  people died
 one person died  people were injured due to a russian airstrike on sumy and bilopyliv
  the occupiers hit a highrise building in selidovo and chasovoy yar one person died  were injured  will stop the war in ukraine  ukraine is a shield for europe  give f  what are you waiting for  ukraine is being destroyed killed","['russians', 'massively', 'shelling', 'cities', 'ukraine', 'result', 'todays', 'attack', 'zaporizhzhia', 'people', 'died', 'one', 'person', 'died', 'people', 'injured', 'due', 'russian', 'airstrike', 'sumy', 'bilopyliv', 'occupiers', 'hit', 'highrise', 'building', 'selidovo', 'chasovoy', 'yar', 'one', 'person', 'died', 'injured', 'stop', 'war', 'ukraine', 'ukraine', 'shield', 'europe', 'give', 'f', 'waiting', 'ukraine', 'destroyed', 'killed']"
684,free leonard peltier,"['free', 'leonard', 'peltier']"
685,he is the worst,['worst']
686,i dont believe in my spirit that elohim is going to bless are county or are lives if we allow this disrespectful person to run for potus after inserting an having individuals killed in line of duty trying to stop his mon of uneducated individual act like the planet of the apes and commit treason against our country and what we stand for where israel or palestine bethelhem or russia vs ukrainewhat will donald want next besides controlling the population growth of dark skin people like prime minister of israel  should we ready for civil raw domestic and then whom ever left them go international either way if this community in these people of america are willing to start  rocks from state to state in order to see whom left to defend this land of ares and future generations  i feel its not right if convicts cant even vote ex or those incarcerated now have no rights yet this individual is running for the highest office in these united state of america which i served my country with honorable discharge and never been arrested or convicted of any major crimes as an hard working blackman as in assitant program director and have have finger prints done tines in one day because california school district and visalia california and police department were dung that me at  yrs had never had record in law eng where id never been to jail or only had traffic tickets reasonly for crossing the street last year was last person to get one here in fresno cant until all the election business is over so can get my visa,"['dont', 'believe', 'spirit', 'elohim', 'going', 'bless', 'county', 'lives', 'allow', 'disrespectful', 'person', 'run', 'potus', 'inserting', 'individuals', 'killed', 'line', 'duty', 'trying', 'stop', 'mon', 'uneducated', 'individual', 'act', 'like', 'planet', 'apes', 'commit', 'treason', 'country', 'stand', 'israel', 'palestine', 'bethelhem', 'russia', 'vs', 'ukrainewhat', 'donald', 'want', 'next', 'besides', 'controlling', 'population', 'growth', 'dark', 'skin', 'people', 'like', 'prime', 'minister', 'israel', 'ready', 'civil', 'raw', 'domestic', 'ever', 'left', 'go', 'international', 'either', 'way', 'community', 'people', 'america', 'willing', 'start', 'rocks', 'state', 'state', 'order', 'see', 'left', 'defend', 'land', 'ares', 'future', 'generations', 'feel', 'right', 'convicts', 'cant', 'even', 'vote', 'ex', 'incarcerated', 'rights', 'yet', 'individual', 'running', 'highest', 'office', 'united', 'state', 'america', 'served', 'country', 'honorable', 'discharge', 'never', 'arrested', 'convicted', 'major', 'crimes', 'hard', 'working', 'blackman', 'assitant', 'program', 'director', 'finger', 'prints', 'done', 'tines', 'one', 'day', 'california', 'school', 'district', 'visalia', 'california', 'police', 'department', 'dung', 'yrs', 'never', 'record', 'law', 'eng', 'id', 'never', 'jail', 'traffic', 'tickets', 'reasonly', 'crossing', 'street', 'last', 'year', 'last', 'person', 'get', 'one', 'fresno', 'cant', 'election', 'business', 'get', 'visa']"
687,i pray the lord comes through and assist you and get another term as potus joe biden may the good lord bless you and keep the faith youve always had i think im try and spend what time i have left in life think after yrs think and know its time for permanent relocation out of americaand since their taxing my retirement you or my grand children can use it ill go over to another  contant and us my skills and teach tech on how to convert an v engine to an v to v then v cylinder engine that was fuel was water when was  when designed for my pop us navy for over yrs it was called  cadillac camron burgundy and sky blue one with royal blue for my grandfather of dallas texas and los angeles cahim and my big brothers and me served in army for over four to seven yrs heso when im move from here and find a home country where they dont disrespect my brothers and cousin and nieces and nephew as well as family serving this land i might be able to visit and tell my grandchildren that their great grandfather fought from  until  to keep you safe and your great grandmother could live free and their the real reason your here and as well as myselfand that if remember to sacrifice for others it helps to keep an village what it is a community that knows its people and its people know its community its been awhile ive been waiting cant believe the things ive seen behind that guy  djt i cant take time even write its name the demon putin made until now doesnt mean that because valdrim putin is still got a lot of making to do him and that young uneducated man prime minister of israel to set down and listenand for as whom will decide what women do with themselves as the good lord always have instructed women but if man meets his responsibility like my black grand parents and white and indigenous grand parents and uncles you had laws with in the family structurepeopke have forgotten how to parent or have never been taught or just didnt care that has to changeits alright to live with change but when cut out the old ways of life and standards and levels in life you run a country on less faith in each other,"['pray', 'lord', 'comes', 'assist', 'get', 'another', 'term', 'potus', 'joe', 'biden', 'may', 'good', 'lord', 'bless', 'keep', 'faith', 'youve', 'always', 'think', 'im', 'try', 'spend', 'time', 'left', 'life', 'think', 'yrs', 'think', 'know', 'time', 'permanent', 'relocation', 'americaand', 'since', 'taxing', 'retirement', 'grand', 'children', 'use', 'ill', 'go', 'another', 'contant', 'us', 'skills', 'teach', 'tech', 'convert', 'v', 'engine', 'v', 'v', 'v', 'cylinder', 'engine', 'fuel', 'water', 'designed', 'pop', 'us', 'navy', 'yrs', 'called', 'cadillac', 'camron', 'burgundy', 'sky', 'blue', 'one', 'royal', 'blue', 'grandfather', 'dallas', 'texas', 'los', 'angeles', 'cahim', 'big', 'brothers', 'served', 'army', 'four', 'seven', 'yrs', 'heso', 'im', 'move', 'find', 'home', 'country', 'dont', 'disrespect', 'brothers', 'cousin', 'nieces', 'nephew', 'well', 'family', 'serving', 'land', 'might', 'able', 'visit', 'tell', 'grandchildren', 'great', 'grandfather', 'fought', 'keep', 'safe', 'great', 'grandmother', 'could', 'live', 'free', 'real', 'reason', 'well', 'myselfand', 'remember', 'sacrifice', 'others', 'helps', 'keep', 'village', 'community', 'knows', 'people', 'people', 'know', 'community', 'awhile', 'ive', 'waiting', 'cant', 'believe', 'things', 'ive', 'seen', 'behind', 'guy', 'djt', 'cant', 'take', 'time', 'even', 'write', 'name', 'demon', 'putin', 'made', 'doesnt', 'mean', 'valdrim', 'putin', 'still', 'got', 'lot', 'making', 'young', 'uneducated', 'man', 'prime', 'minister', 'israel', 'set', 'listenand', 'decide', 'women', 'good', 'lord', 'always', 'instructed', 'women', 'man', 'meets', 'responsibility', 'like', 'black', 'grand', 'parents', 'white', 'indigenous', 'grand', 'parents', 'uncles', 'laws', 'family', 'structurepeopke', 'forgotten', 'parent', 'never', 'taught', 'didnt', 'care', 'changeits', 'alright', 'live', 'change', 'cut', 'old', 'ways', 'life', 'standards', 'levels', 'life', 'run', 'country', 'less', 'faith']"
688,vote blue,"['vote', 'blue']"
689,No Comment,"['No', 'Comment']"
690,brokeasstrump is donehis value went down  billion after his stocks plummeted ,"['brokeasstrump', 'donehis', 'value', 'went', 'billion', 'stocks', 'plummeted']"
691,im so sick of brokeasstrump and his ahole mouth and vag neck and unibrow eyebrows,"['im', 'sick', 'brokeasstrump', 'ahole', 'mouth', 'vag', 'neck', 'unibrow', 'eyebrows']"
692,the biggest waist of a human being ever,"['biggest', 'waist', 'human', 'ever']"
693,choose what,['choose']
694,kamalaharris joebiden choose what,"['kamalaharris', 'joebiden', 'choose']"
695,trump hates women  he just likes to use them up,"['trump', 'hates', 'women', 'likes', 'use']"
696,the biggest hypocrite on the planet takes pride in the overturning of roe v wade i wonder how many abortions his mistresses and hookups have had by him he raw dogged a pornstar its all about power and control and keeping women stuck this just means less sex for everyone,"['biggest', 'hypocrite', 'planet', 'takes', 'pride', 'overturning', 'roe', 'v', 'wade', 'wonder', 'many', 'abortions', 'mistresses', 'hookups', 'raw', 'dogged', 'pornstar', 'power', 'control', 'keeping', 'women', 'stuck', 'means', 'less', 'sex', 'everyone']"
697,"basing an entire election around abortion is absolutely insaneand thats what it has come to here 
or what they want it to come to
the extreme anti abortionists are just as bad as the extreme pro abortionists
if the republicans would pull their heads out of their asses and settle for early stage abortions theyd win way more elections","['basing', 'entire', 'election', 'around', 'abortion', 'absolutely', 'insane', 'thats', 'come', 'want', 'come', 'extreme', 'anti', 'abortionists', 'bad', 'extreme', 'pro', 'abortionists', 'republicans', 'would', 'pull', 'heads', 'asses', 'settle', 'early', 'stage', 'abortions', 'theyd', 'win', 'way', 'elections']"
698,im all about this but why cant you or have your done this during your term its a little too late joebiden,"['im', 'cant', 'done', 'term', 'little', 'late', 'joebiden']"
699,morijt found the beta male,"['morijt', 'found', 'beta', 'male']"
700,you own it don,[]
701,free palestine ,"['free', 'palestine']"
702,no comment,['comment']
703,No Comment,"['No', 'Comment']"
704,he and his family are awesome,"['family', 'awesome']"
705,free palestine freedomforpalestine,"['free', 'palestine', 'freedomforpalestine']"
706,No Comment,"['No', 'Comment']"
707,No Comment,"['No', 'Comment']"
708,historic ,['historic']
709,obama  president again,"['obama', 'president']"
710,ceasefire,['ceasefire']
711,there are more important things happening in the world like a ceasefire request palestinians but since you were already elected you dont care about the people right,"['important', 'things', 'happening', 'world', 'like', 'ceasefire', 'request', 'palestinians', 'since', 'already', 'elected', 'dont', 'care', 'people', 'right']"
712,yuk,['yuk']
713,No Comment,"['No', 'Comment']"
714,ceasefire now freepalestine ,"['ceasefire', 'freepalestine']"
715,palestine ,['palestine']
716,No Comment,"['No', 'Comment']"
717,No Comment,"['No', 'Comment']"
718,religious sprirts or aka dungal berry obumbitchma  love tormenting ppl away from the intimacy from god so jesus and i started doing a thing on earth amd in heaven fir those catholics that die and we only do it when you kniw your forgivn for killing yourself and being a lier who wont inheart heaven cause your pope say all of them go to hell no no one must loes there life to keep it heck kurt has changed my understanding in the world to were i thought alot before getting g my side of the story out the good one already made multiple basic retarted channeling a fallen angal entity to were its not that hard obama were sheep and a retarted with pride is a curve ball,"['religious', 'sprirts', 'aka', 'dungal', 'berry', 'obumbitchma', 'love', 'tormenting', 'ppl', 'away', 'intimacy', 'god', 'jesus', 'started', 'thing', 'earth', 'amd', 'heaven', 'fir', 'catholics', 'die', 'kniw', 'forgivn', 'killing', 'lier', 'wont', 'inheart', 'heaven', 'cause', 'pope', 'say', 'go', 'hell', 'one', 'must', 'loes', 'life', 'keep', 'heck', 'kurt', 'changed', 'understanding', 'world', 'thought', 'alot', 'getting', 'g', 'side', 'story', 'good', 'one', 'already', 'made', 'multiple', 'basic', 'retarted', 'channeling', 'fallen', 'angal', 'entity', 'hard', 'obama', 'sheep', 'retarted', 'pride', 'curve', 'ball']"
719,No Comment,"['No', 'Comment']"
720,religious sprirts or aka dungal berry obumbitchma  love tormenting ppl away from the intimacy from god so jesus and i started doing a thing on earth amd in heaven fir those catholics that die and we only do it when you kniw your forgivn for killing yourself and being a lier who wont inheart heaven cause your pope say all of them go to hell no no one must loes there life to keep it heck kurt has changed my understanding in the world to were i thought alot before getting g my side of the story out the good one already made multiple basic retarted channeling a fallen angal entity to were its not that hard obama were sheep and a retarted with pride is a curve ball,"['religious', 'sprirts', 'aka', 'dungal', 'berry', 'obumbitchma', 'love', 'tormenting', 'ppl', 'away', 'intimacy', 'god', 'jesus', 'started', 'thing', 'earth', 'amd', 'heaven', 'fir', 'catholics', 'die', 'kniw', 'forgivn', 'killing', 'lier', 'wont', 'inheart', 'heaven', 'cause', 'pope', 'say', 'go', 'hell', 'one', 'must', 'loes', 'life', 'keep', 'heck', 'kurt', 'changed', 'understanding', 'world', 'thought', 'alot', 'getting', 'g', 'side', 'story', 'good', 'one', 'already', 'made', 'multiple', 'basic', 'retarted', 'channeling', 'fallen', 'angal', 'entity', 'hard', 'obama', 'sheep', 'retarted', 'pride', 'curve', 'ball']"
721,No Comment,"['No', 'Comment']"
722,No Comment,"['No', 'Comment']"
723,you got enough of israeli lobbies ,"['got', 'enough', 'israeli', 'lobbies']"
724,help me mr obama ,"['help', 'mr', 'obama']"
725,i heard a noise in the kitchen,"['heard', 'noise', 'kitchen']"
726,No Comment,"['No', 'Comment']"
727,No Comment,"['No', 'Comment']"
728,obbaaaaammmmmmaaaaasssss,['obbaaaaammmmmmaaaaasssss']
729,"two of the proudest days of my life in this country to this day were  both of your inauguration days 

i shall hold them dear to my heart forever americaatitsbest","['two', 'proudest', 'days', 'life', 'country', 'day', 'inauguration', 'days', 'shall', 'hold', 'dear', 'heart', 'forever', 'americaatitsbest']"
730,genocde barack,"['genocde', 'barack']"
731,tirney oppersing you all have bought me for helping  your country is amazing all i did was to help and take people out of oppersion,"['tirney', 'oppersing', 'bought', 'helping', 'country', 'amazing', 'help', 'take', 'people', 'oppersion']"
732,you suck obama,"['suck', 'obama']"
733,biggest mistake ever electing a communist,"['biggest', 'mistake', 'ever', 'electing', 'communist']"
734,barack you are a wonderful person i look you before you are president of the usa  and i had think this man bring a new time in the world  the first black president we can bee proud of youi wish you a very long life with your nice family ,"['barack', 'wonderful', 'person', 'look', 'president', 'usa', 'think', 'man', 'bring', 'new', 'time', 'world', 'first', 'black', 'president', 'bee', 'proud', 'youi', 'wish', 'long', 'life', 'nice', 'family']"
735,happy birthday potus ,"['happy', 'birthday', 'potus']"
736,exactly unfortunately,"['exactly', 'unfortunately']"
737,kanye west deserves to have full custody of his kids start a movement kanye west deserves custody kim kardashian is sexually exploiting the girls for her own personal gain no matter what controversy lies behind kanye west he deserves to be a parent more than kim kardashian start a movement give kanye west full custody save his children from exploitation,"['kanye', 'west', 'deserves', 'full', 'custody', 'kids', 'start', 'movement', 'kanye', 'west', 'deserves', 'custody', 'kim', 'kardashian', 'sexually', 'exploiting', 'girls', 'personal', 'gain', 'matter', 'controversy', 'lies', 'behind', 'kanye', 'west', 'deserves', 'parent', 'kim', 'kardashian', 'start', 'movement', 'give', 'kanye', 'west', 'full', 'custody', 'save', 'children', 'exploitation']"
738,free palestine ,"['free', 'palestine']"
739,i already gave obama the fucking recipe,"['already', 'gave', 'obama', 'fucking', 'recipe']"
740,i already gave obama the fucking recipe good luck,"['already', 'gave', 'obama', 'fucking', 'recipe', 'good', 'luck']"
741,No Comment,"['No', 'Comment']"
742,we wont ever remember you as the president you think you were but instead as as coward war monger who couldnt even call for a ceasefire when he had nothing to lose,"['wont', 'ever', 'remember', 'president', 'think', 'instead', 'coward', 'war', 'monger', 'couldnt', 'even', 'call', 'ceasefire', 'nothing', 'lose']"
743,change lol worst president ever,"['change', 'lol', 'worst', 'president', 'ever']"
744,no comment,['comment']
745,please run again mr president,"['please', 'run', 'mr', 'president']"
746,No Comment,"['No', 'Comment']"
747,what would you do if you were in office now we believed in you for change,"['would', 'office', 'believed', 'change']"
748,hes satan he literally supports anything i dont so yea he does he was spying on all of you u realise that yea,"['hes', 'satan', 'literally', 'supports', 'anything', 'dont', 'yea', 'spying', 'u', 'realise', 'yea']"
749,No Comment,"['No', 'Comment']"
750,register and vote blue local to presidential ,"['register', 'vote', 'blue', 'local', 'presidential']"
751,ongoing legacy,"['ongoing', 'legacy']"
752,No Comment,"['No', 'Comment']"
753,margaritaconsalt your still here ,"['margaritaconsalt', 'still']"
754,lovely dady,"['lovely', 'dady']"
755,i remember being in middle school thinking about the mistake this country made,"['remember', 'middle', 'school', 'thinking', 'mistake', 'country', 'made']"
756,all yall know is what the damn media shows you guys there is a bunch of shit behind closed doors that they dont want you knowing so quit with all the genocide talk how the hell yall know he aint tried to stop whats going on over there social media is a platform not the news  think hes for babies and adults getting bombed on come on yall use the brains you were given trump maybe biden maybe but obama built different and this isnt a racist response so nobody take it there please  he nor any other existing president has the power to stop the destruction and bombing that gaza is receiving unless yall want our army fighting a fight were not even in it would be great if our army stepped in but its not required and i dont blame them not wanting to fight someone elses fight we have bigger problems over here in the usand we need everyones attention ,"['yall', 'know', 'damn', 'media', 'shows', 'guys', 'bunch', 'shit', 'behind', 'closed', 'doors', 'dont', 'want', 'knowing', 'quit', 'genocide', 'talk', 'hell', 'yall', 'know', 'aint', 'tried', 'stop', 'whats', 'going', 'social', 'media', 'platform', 'news', 'think', 'hes', 'babies', 'adults', 'getting', 'bombed', 'come', 'yall', 'use', 'brains', 'given', 'trump', 'maybe', 'biden', 'maybe', 'obama', 'built', 'different', 'isnt', 'racist', 'response', 'nobody', 'take', 'please', 'existing', 'president', 'power', 'stop', 'destruction', 'bombing', 'gaza', 'receiving', 'unless', 'yall', 'want', 'army', 'fighting', 'fight', 'even', 'would', 'great', 'army', 'stepped', 'required', 'dont', 'blame', 'wanting', 'fight', 'someone', 'elses', 'fight', 'bigger', 'problems', 'usand', 'need', 'everyones', 'attention']"
757,matthewmayes i also was there the day of the inauguration i was  years old and obama has done everything he said he would do,"['matthewmayes', 'also', 'day', 'inauguration', 'years', 'old', 'obama', 'done', 'everything', 'said', 'would']"
758,free palestine ,"['free', 'palestine']"
759,free palestine ,"['free', 'palestine']"
760,free palistina,"['free', 'palistina']"
761,esse  o cara ,"['esse', 'cara']"
762,hope is dead,"['hope', 'dead']"
763,No Comment,"['No', 'Comment']"
764,obamafoundation ,['obamafoundation']
765,the world need more obama ,"['world', 'need', 'obama']"
766,No Comment,"['No', 'Comment']"
767,No Comment,"['No', 'Comment']"
768,i love  wooooo,"['love', 'wooooo']"
769,No Comment,"['No', 'Comment']"
770,no comment,['comment']
771,wheres trump  ,"['wheres', 'trump']"
772,ceasefirenow ceasefirenow ceasefirenow ceasefirenow,"['ceasefirenow', 'ceasefirenow', 'ceasefirenow', 'ceasefirenow']"
773,exit  tb pg for tv,"['exit', 'tb', 'pg', 'tv']"
774,we are the ones weve been waiting forand always will be you empower the empowerable and tick off those who want only hewers of wood and carriers of water,"['ones', 'weve', 'waiting', 'forand', 'always', 'empower', 'empowerable', 'tick', 'want', 'hewers', 'wood', 'carriers', 'water']"
775,no comment,['comment']
776,best years of the life     ,"['best', 'years', 'life']"
777,No Comment,"['No', 'Comment']"
778,i remember like it was yesterday joy,"['remember', 'like', 'yesterday', 'joy']"
779,No Comment,"['No', 'Comment']"
780, ,[]
781,you lead the terrorist occupation of america great job barak,"['lead', 'terrorist', 'occupation', 'america', 'great', 'job', 'barak']"
782,the best president ,"['best', 'president']"
783,meitalgabay he is a jew hater and so is his wife,"['meitalgabay', 'jew', 'hater', 'wife']"
784,foodallergymomandmore he stands for  diversity equity inclusion and the right to kill jews  my family was his biggest fans my husband always warned us all but we didnt believe it should have listened,"['foodallergymomandmore', 'stands', 'diversity', 'equity', 'inclusion', 'right', 'kill', 'jews', 'family', 'biggest', 'fans', 'husband', 'always', 'warned', 'us', 'didnt', 'believe', 'listened']"
785,No Comment,"['No', 'Comment']"
786,best  years ever  love you mr president and first lady,"['best', 'years', 'ever', 'love', 'mr', 'president', 'first', 'lady']"
787,why cant we have this againplease reun fro president again,"['cant', 'againplease', 'reun', 'fro', 'president']"
788,No Comment,"['No', 'Comment']"
789,"dear obama you are an inspiration to us my father likes you so much that he made clippings about you my father is sick he cant work anymore since he had a stroke one of the activities to recover is to make clippings of yourself the clipping is finished and my father wants to give it to you may we ask for your email and address
httpsyoutubepokcxxgl","['dear', 'obama', 'inspiration', 'us', 'father', 'likes', 'much', 'made', 'clippings', 'father', 'sick', 'cant', 'work', 'anymore', 'since', 'stroke', 'one', 'activities', 'recover', 'make', 'clippings', 'clipping', 'finished', 'father', 'wants', 'give', 'may', 'ask', 'email', 'address', 'httpsyoutubepokcxxgl']"
790,nice to meet you never forget your smile for me,"['nice', 'meet', 'never', 'forget', 'smile']"
791,"former president barack obama        before and as one pursues all things for our journeys  for example  one can approach                       for a      

  for   to     in all of my endeavors your will               now you   that you   what youve asked him for                  
how much better is it to get wisdom than gold and to get understanding rather to be chosen than silver
proverbs  kjv","['former', 'president', 'barack', 'obama', 'one', 'pursues', 'things', 'journeys', 'example', 'one', 'approach', 'endeavors', 'youve', 'asked', 'much', 'better', 'get', 'wisdom', 'gold', 'get', 'understanding', 'rather', 'chosen', 'silver', 'proverbs', 'kjv']"
792,joeythedog lol sucks when israel fights back i will drink your fellow palestinians as theyre turned to liquid your mom tastes great  mmmmm,"['joeythedog', 'lol', 'sucks', 'israel', 'fights', 'back', 'drink', 'fellow', 'palestinians', 'theyre', 'turned', 'liquid', 'mom', 'tastes', 'great', 'mmmmm']"
793,No Comment,"['No', 'Comment']"
794,formidable,['formidable']
795,no comment,['comment']
796,No Comment,"['No', 'Comment']"
797,"biden claimed that the us economy was on the brink of disaster when he took office president biden inherited an economy that was strong rebounding from the pandemic in the fourth quarter of  the economy grew at an annual rate of  percent
in the prior quarter it had grown at an annual rate of  percent as the economy whipsawed from lockdown to reopening as biden took office in the first quarter of  the economy was growing at a  percent annual rate until the department of commerce revised its calculations last fall this was reported as an annual rate of  percent the unemployment rate was  percent in january  down from  percent in april  while elevated compared with recent levels in the trump era that is high by historical measures","['biden', 'claimed', 'us', 'economy', 'brink', 'disaster', 'took', 'office', 'president', 'biden', 'inherited', 'economy', 'strong', 'rebounding', 'pandemic', 'fourth', 'quarter', 'economy', 'grew', 'annual', 'rate', 'percent', 'prior', 'quarter', 'grown', 'annual', 'rate', 'percent', 'economy', 'whipsawed', 'lockdown', 'reopening', 'biden', 'took', 'office', 'first', 'quarter', 'economy', 'growing', 'percent', 'annual', 'rate', 'department', 'commerce', 'revised', 'calculations', 'last', 'fall', 'reported', 'annual', 'rate', 'percent', 'unemployment', 'rate', 'percent', 'january', 'percent', 'april', 'elevated', 'compared', 'recent', 'levels', 'trump', 'era', 'high', 'historical', 'measures']"
798,should be credited for starting it,"['credited', 'starting']"
799,meitalgabay you should look at current president candidates you may as well blame fdr for the genocide,"['meitalgabay', 'look', 'current', 'president', 'candidates', 'may', 'well', 'blame', 'fdr', 'genocide']"
800,the greatest president ,"['greatest', 'president']"
801,dude how much time do we have here from obama is amazing hahaha,"['dude', 'much', 'time', 'obama', 'amazing', 'hahaha']"
802,potus barack obama my hero ,"['potus', 'barack', 'obama', 'hero']"
803,worst president ever he wore a tan suit once how could he,"['worst', 'president', 'ever', 'wore', 'tan', 'suit', 'could']"
804,so did he read it or not lmao,"['read', 'lmao']"
805,no one will ever care about that until our decline and someone finally invades us for a fabricated reason,"['one', 'ever', 'care', 'decline', 'someone', 'finally', 'invades', 'us', 'fabricated', 'reason']"
806,alxbarron and thats the measuring stick for most people do i like them and do i generally not notice their existence,"['alxbarron', 'thats', 'measuring', 'stick', 'people', 'like', 'generally', 'notice', 'existence']"
807,this president gathers all the qualities we americans honor  i know we cannot have him back  but i wish we could ,"['president', 'gathers', 'qualities', 'americans', 'honor', 'know', 'back', 'wish', 'could']"
808,love him,['love']
809,pittbossss right he bombed kids in the middle east with a smile,"['pittbossss', 'right', 'bombed', 'kids', 'middle', 'east', 'smile']"
810,miss obama,"['miss', 'obama']"
811,moniqueb he is like the boyfriend you just never can get over,"['moniqueb', 'like', 'boyfriend', 'never', 'get']"
812,landpuma ,['landpuma']
813,badtoad  boy they got you good,"['badtoad', 'boy', 'got', 'good']"
814,latoniapearlharris oh he is starstruck and is playing in their filthy little pool today dont be fooled,"['latoniapearlharris', 'oh', 'starstruck', 'playing', 'filthy', 'little', 'pool', 'today', 'dont', 'fooled']"
815,of course he does manchurian sleepers are versed in many things,"['course', 'manchurian', 'sleepers', 'versed', 'many', 'things']"
816,i love him ,['love']
817,so miss this man,"['miss', 'man']"
818,love obama,"['love', 'obama']"
819,just watched  so awesome,"['watched', 'awesome']"
820,badtoad i told someone the other day we are paying for electing himtwice,"['badtoad', 'told', 'someone', 'day', 'paying', 'electing', 'twice']"
821, dont play with the me,"['dont', 'play']"
